year,date,team,opponent,win,srs,win/loss,Exp,PTS,REB,AST,STL,BLK,TOV,TS%,3P%
2023,2023-03-19,Xavier,Pittsburgh,0.059,5.44,1,-0.23,5.1,3.7,5.1,2.9,2.2,-0.9,0.015,0.031
2023,2023-03-24,Xavier,Texas,-0.029,-4.53,0,0.10,4.6,4.8,7.2,3.5,3.2,1.6,0.011,0.039
2022,2022-03-17,Akron,UCLA,-0.054,-18.39,0,-0.91,-3.4,-0.1,-0.9,-0.3,-1.0,-0.6,0.013,0.011
2022,2022-03-18,Alabama,Notre Dame,-0.103,2.75,0,-0.39,8.2,7.7,6.3,5.3,5.6,-3.6,0.001,-0.028
2022,2022-03-18,Alabama Birmingham,Houston,-0.059,-11.65,0,0.13,6.7,7.1,5.0,5.8,4.9,-1.0,0.020,0.038
2022,2022-03-18,Arizona,Wright State,0.283,24.69,1,-0.55,2.3,2.0,2.3,-2.2,-0.5,-0.5,-0.016,0.007
2022,2022-03-20,Arizona,Texas Christian,0.287,9.03,1,-0.36,9.3,7.0,4.9,1.4,2.7,0.4,0.019,0.035
2022,2022-03-24,Arizona,Houston,0.059,0.20,0,-0.40,9.3,9.4,9.1,5.1,6.4,-0.5,0.014,0.027
2022,2022-03-17,Arkansas,Vermont,-0.091,8.46,1,-0.47,4.3,8.1,5.7,5.2,4.5,-3.2,-0.023,-0.041
2022,2022-03-19,Arkansas,New Mexico State,-0.055,9.16,1,0.07,3.6,5.2,3.2,2.2,2.9,-0.5,0.001,-0.002
2022,2022-03-24,Arkansas,Gonzaga,-0.139,-9.19,1,0.56,-4.6,3.3,2.8,1.8,1.6,-1.7,-0.010,-0.024
2022,2022-03-26,Arkansas,Duke,-0.066,-3.28,0,0.50,-1.8,2.2,0.5,1.1,0.7,-3.0,-0.014,-0.029
2022,2022-03-18,Auburn,Jacksonville State,0.166,19.39,1,-0.05,2.4,3.8,0.8,1.1,2.7,-0.9,-0.031,-0.045
2022,2022-03-20,Auburn,Miami (FL),0.147,7.98,0,-0.35,0.5,0.9,-1.9,0.1,0.7,-1.6,-0.043,-0.028
2022,2022-03-17,Baylor,Norfolk State,0.013,25.64,1,-0.43,1.2,1.7,1.7,1.3,-0.1,-0.3,0.014,0.005
2022,2022-03-19,Baylor,North Carolina,0.094,6.23,0,-0.04,-4.1,-1.4,-2.1,-2.5,-3.7,-3.5,-0.001,-0.025
2022,2022-03-17,Boise State,Memphis,0.117,-2.74,0,0.77,-7.2,-2.7,-4.7,-5.3,-3.8,2.6,-0.005,-0.001
2022,2022-03-18,Cal State Fullerton,Duke,-0.146,-19.59,0,0.66,-5.7,-0.9,-1.7,0.0,-1.3,-2.5,0.000,0.010
2022,2022-03-18,Chattanooga,Illinois,0.084,-10.57,0,0.26,-1.5,0.1,-0.1,-1.1,-1.8,-0.2,0.011,-0.019
2022,2022-03-18,Colgate,Wisconsin,-0.098,-12.15,0,1.01,3.4,1.2,3.3,1.2,0.7,-1.1,0.026,0.054
2022,2022-03-17,Colorado State,Michigan,0.285,-2.75,0,0.36,-1.3,-1.0,-0.1,-1.2,-1.8,-0.5,0.016,0.011
2022,2022-03-17,Connecticut,New Mexico State,-0.094,9.29,0,-0.20,1.5,5.0,1.8,-0.1,2.5,1.0,-0.009,0.037
2022,2022-03-17,Creighton,San Diego State,-0.075,-1.79,1,-0.99,6.1,6.7,5.6,4.0,4.8,1.3,0.009,-0.015
2022,2022-03-19,Creighton,Kansas,-0.157,-10.94,0,-0.78,-4.9,2.1,0.3,-0.9,0.1,0.0,-0.024,-0.017
2022,2022-03-18,Davidson,Michigan State,0.171,-2.75,0,0.07,0.1,-0.9,-0.7,-2.4,-1.9,1.2,0.026,0.014
2022,2022-03-18,Delaware,Villanova,-0.141,-18.99,0,-0.21,4.6,3.7,4.4,4.8,3.9,-1.8,0.019,0.017
2022,2022-03-18,Duke,Cal State Fullerton,0.146,19.59,1,-0.66,5.7,3.6,2.3,0.8,1.8,2.5,0.000,-0.010
2022,2022-03-20,Duke,Michigan State,0.176,6.37,1,-0.23,3.3,2.0,1.2,-0.5,0.5,1.1,0.005,-0.004
2022,2022-03-24,Duke,Texas Tech,0.088,-0.53,1,-0.74,7.6,7.4,6.3,3.4,5.0,4.2,0.012,0.025
2022,2022-03-26,Duke,Arkansas,0.066,3.28,1,-0.50,1.8,1.3,1.8,-0.3,0.8,3.0,0.014,0.029
2022,2022-04-02,Duke,North Carolina,0.105,4.05,0,-0.05,-0.7,0.8,0.1,-1.8,-0.8,0.2,0.006,-0.005
2022,2022-03-17,Georgia State,Gonzaga,-0.254,-26.57,0,0.21,-8.5,1.8,1.4,1.1,0.5,-2.2,-0.028,0.011
2022,2022-03-17,Gonzaga,Georgia State,0.254,26.57,1,-0.21,8.5,3.0,2.8,0.4,1.4,2.2,0.028,-0.011
2022,2022-03-19,Gonzaga,Memphis,0.219,10.79,1,-0.04,5.0,3.6,1.4,-2.5,0.1,3.5,0.005,0.000
2022,2022-03-24,Gonzaga,Arkansas,0.139,9.19,0,-0.56,4.6,2.5,1.8,-1.1,0.1,1.7,0.010,0.024
2022,2022-03-18,Houston,Alabama Birmingham,0.059,11.65,1,-0.13,-6.7,-1.3,-1.4,-2.7,-3.2,1.0,-0.020,-0.038
2022,2022-03-20,Houston,Illinois,0.143,5.86,1,-0.05,-4.0,-1.2,-1.2,-3.5,-3.1,-1.2,-0.009,-0.027
2022,2022-03-24,Houston,Arizona,-0.059,-0.20,1,0.40,-9.3,-2.1,-2.5,-4.1,-3.5,0.5,-0.014,-0.027
2022,2022-03-26,Houston,Villanova,0.065,3.24,0,-0.46,-0.4,1.2,0.5,-0.3,-1.1,-1.8,-0.017,-0.021
2022,2022-03-18,Illinois,Chattanooga,-0.084,10.57,1,-0.26,1.5,5.1,3.7,1.2,1.2,0.2,-0.011,0.019
2022,2022-03-20,Illinois,Houston,-0.143,-5.86,0,0.05,4.0,7.5,6.4,3.9,4.6,1.2,0.009,0.027
2022,2022-03-17,Indiana,Saint Mary's (CA),-0.164,-2.11,0,0.09,3.3,6.1,5.9,2.6,3.7,-0.1,-0.008,-0.015
2022,2022-03-17,Iowa,Richmond,0.086,11.83,1,-0.82,7.5,2.3,3.1,2.4,2.0,-0.1,0.009,0.010
2022,2022-03-18,Iowa State,Louisiana State,-0.042,-5.07,1,1.18,-4.0,-1.6,1.2,0.2,-0.6,1.1,0.006,0.003
2022,2022-03-20,Iowa State,Wisconsin,-0.149,-0.75,1,0.92,-3.9,-3.0,-0.1,0.1,-1.9,-5.2,0.002,-0.014
2022,2022-03-25,Iowa State,Miami (FL),-0.072,1.16,0,0.18,-8.1,-5.5,-4.2,-2.3,-4.1,-3.5,-0.036,-0.040
2022,2022-03-18,Jacksonville State,Auburn,-0.166,-19.39,0,0.05,-2.4,0.1,1.6,-0.6,-0.5,0.9,0.031,0.045
2022,2022-03-17,Kansas,Texas Southern,0.211,25.58,1,-0.73,5.2,2.2,2.6,-0.3,1.5,1.1,0.031,0.021
2022,2022-03-19,Kansas,Creighton,0.157,10.94,1,0.78,4.9,1.5,2.5,0.2,0.8,0.0,0.024,0.017
2022,2022-03-25,Kansas,Providence,-0.010,9.20,1,-0.14,3.9,2.3,2.6,0.8,0.8,-1.5,0.013,0.008
2022,2022-03-27,Kansas,Miami (FL),0.127,11.06,1,-0.14,0.6,-0.3,-1.5,-1.0,-1.1,-0.7,-0.024,-0.013
2022,2022-04-02,Kansas,Villanova,0.036,2.97,1,-0.22,5.6,4.9,4.3,3.1,2.7,-1.6,-0.002,-0.004
2022,2022-04-04,Kansas,North Carolina,0.105,6.78,1,0.39,-1.8,0.6,-0.8,-2.2,-1.7,-1.7,-0.001,-0.018
2022,2022-03-17,Kentucky,Saint Peter's,0.155,17.94,0,-0.17,8.3,5.2,4.6,2.0,1.7,1.7,0.023,0.007
2022,2022-03-17,Longwood,Tennessee,0.025,-20.81,0,0.15,2.6,3.1,2.7,2.1,1.3,0.9,0.026,0.013
2022,2022-03-18,Louisiana State,Iowa State,0.042,5.07,0,-1.18,4.0,2.3,1.0,2.3,0.6,-1.1,-0.006,-0.003
2022,2022-03-18,Loyola (IL),Ohio State,0.148,-0.78,0,0.00,-3.1,-2.2,-1.4,-2.8,-3.2,-2.2,-0.001,-0.008
2022,2022-03-17,Marquette,North Carolina,-0.106,-4.14,0,-0.75,-1.8,1.2,1.8,0.8,1.0,-2.4,-0.005,-0.016
2022,2022-03-17,Memphis,Boise State,-0.117,2.74,1,-0.77,7.2,8.1,6.7,5.3,5.0,-2.6,0.005,0.001
2022,2022-03-19,Memphis,Gonzaga,-0.219,-10.79,0,0.04,-5.0,3.8,3.8,2.2,2.3,-3.5,-0.005,0.000
2022,2022-03-18,Miami (FL),Southern California,-0.091,-1.28,1,0.25,3.0,0.6,3.3,3.4,2.1,-0.7,0.046,-0.002
2022,2022-03-20,Miami (FL),Auburn,-0.147,-7.98,1,0.35,-0.5,-1.4,3.1,2.3,1.3,1.6,0.043,0.028
2022,2022-03-25,Miami (FL),Iowa State,0.072,-1.16,1,-0.18,8.1,2.6,5.2,4.8,3.6,3.5,0.036,0.040
2022,2022-03-27,Miami (FL),Kansas,-0.127,-11.06,0,0.14,-0.6,0.3,2.7,2.8,1.6,0.7,0.024,0.013
2022,2022-03-17,Michigan,Colorado State,-0.285,2.75,1,-0.36,1.3,3.6,2.8,1.3,1.9,0.5,-0.016,-0.011
2022,2022-03-19,Michigan,Tennessee,-0.239,-6.20,1,0.04,2.8,4.3,4.6,2.3,3.5,3.3,0.021,-0.005
2022,2022-03-24,Michigan,Villanova,-0.239,-5.05,0,-0.72,3.8,4.9,4.8,3.4,3.3,0.1,0.008,-0.002
2022,2022-03-18,Michigan State,Davidson,-0.171,2.75,1,-0.07,-0.1,4.4,3.4,1.9,2.9,-1.2,-0.026,-0.014
2022,2022-03-20,Michigan State,Duke,-0.176,-6.37,0,0.23,-3.3,2.1,1.8,0.5,1.5,-1.1,-0.005,0.004
2022,2022-03-18,Montana State,Texas Tech,0.059,-20.34,0,-0.75,6.6,6.8,5.4,3.6,4.9,1.8,0.031,0.031
2022,2022-03-17,Murray State,San Francisco,0.210,-4.25,1,-0.28,-1.4,0.8,-0.3,-1.5,-2.2,0.2,-0.002,0.004
2022,2022-03-19,Murray State,Saint Peter's,0.304,6.91,0,-0.08,6.4,3.1,2.3,0.8,-0.5,0.9,0.027,0.005
2022,2022-03-17,New Mexico State,Connecticut,0.094,-9.29,1,0.20,-1.5,2.3,1.4,-1.0,0.0,-1.0,0.009,-0.037
2022,2022-03-19,New Mexico State,Arkansas,0.055,-9.16,0,-0.07,-3.6,-0.2,-1.3,-2.7,-1.6,0.5,-0.001,0.002
2022,2022-03-17,Norfolk State,Baylor,-0.013,-25.64,0,0.43,-1.2,3.2,-0.2,0.3,0.6,0.3,-0.014,-0.005
2022,2022-03-17,North Carolina,Marquette,0.106,4.14,1,0.75,1.8,0.8,0.1,-1.1,0.2,2.4,0.005,0.016
2022,2022-03-19,North Carolina,Baylor,-0.094,-6.23,1,0.04,4.1,8.1,4.5,3.0,4.2,3.5,0.001,0.025
2022,2022-03-25,North Carolina,UCLA,-0.063,-3.80,1,-0.61,4.6,7.5,5.1,3.8,3.8,0.3,0.007,0.011
2022,2022-03-27,North Carolina,Saint Peter's,0.085,12.54,1,-0.20,9.8,8.2,6.4,3.6,3.9,2.9,0.025,0.027
2022,2022-04-02,North Carolina,Duke,-0.105,-4.05,1,0.05,0.7,5.5,2.6,1.4,2.1,-0.2,-0.006,0.005
2022,2022-04-04,North Carolina,Kansas,-0.105,-6.78,0,-0.39,1.8,6.1,3.6,1.4,2.4,1.7,0.001,0.018
2022,2022-03-18,Notre Dame,Alabama,0.103,-2.75,1,0.39,-8.2,-5.8,-4.0,-6.0,-5.6,3.6,-0.001,0.028
2022,2022-03-20,Notre Dame,Texas Tech,-0.038,-8.21,0,-0.24,3.5,5.1,4.7,2.5,2.9,4.4,0.015,0.034
2022,2022-03-18,Ohio State,Loyola (IL),-0.148,0.78,1,0.00,3.1,4.8,4.8,2.5,3.8,2.2,0.001,0.008
2022,2022-03-20,Ohio State,Villanova,-0.155,-5.14,0,0.08,3.1,3.5,3.1,2.4,3.2,0.2,0.013,0.018
2022,2022-03-17,Providence,South Dakota State,-0.049,6.48,1,0.25,-10.7,-0.6,-3.0,-3.5,-3.0,0.4,-0.063,-0.077
2022,2022-03-19,Providence,Richmond,0.176,6.01,1,-0.25,-0.9,-0.1,-0.9,-1.3,-0.8,0.4,-0.019,-0.014
2022,2022-03-25,Providence,Kansas,0.010,-9.20,0,0.14,-3.9,1.7,0.2,-1.3,-0.3,1.5,-0.013,-0.008
2022,2022-03-18,Purdue,Yale,0.161,19.25,1,0.33,3.5,1.3,1.8,-1.7,-0.3,2.4,0.028,0.042
2022,2022-03-20,Purdue,Texas,0.138,2.14,1,-0.74,9.2,7.2,7.4,3.3,4.0,2.6,0.031,0.034
2022,2022-03-25,Purdue,Saint Peter's,0.161,16.19,0,-0.02,9.2,5.5,5.6,1.8,2.3,2.9,0.049,0.038
2022,2022-03-17,Richmond,Iowa,-0.086,-11.83,1,0.82,-7.5,-3.2,-1.4,-0.3,-1.7,0.1,-0.009,-0.010
2022,2022-03-19,Richmond,Providence,-0.176,-6.01,0,0.25,0.9,0.1,2.8,2.0,0.5,-0.4,0.019,0.014
2022,2022-03-17,Saint Mary's (CA),Indiana,0.164,2.11,1,-0.09,-3.3,-2.8,-1.5,-2.7,-2.9,0.1,0.008,0.015
2022,2022-03-19,Saint Mary's (CA),UCLA,0.000,-4.48,0,-0.38,-4.8,-1.7,-1.0,-0.8,-2.3,-0.9,0.005,0.009
2022,2022-03-17,Saint Peter's,Kentucky,-0.155,-17.94,1,0.17,-8.3,0.6,-1.7,-1.5,-1.0,-1.7,-0.023,-0.007
2022,2022-03-19,Saint Peter's,Murray State,-0.304,-6.91,1,0.08,-6.4,1.9,0.6,0.5,0.2,-0.9,-0.027,-0.005
2022,2022-03-25,Saint Peter's,Purdue,-0.161,-16.19,1,0.02,-9.2,0.4,-3.6,-2.4,-1.7,-2.9,-0.049,-0.038
2022,2022-03-27,Saint Peter's,North Carolina,-0.085,-12.54,0,0.20,-9.8,-2.9,-4.7,-4.2,-3.7,-2.9,-0.025,-0.027
2022,2022-03-17,San Diego State,Creighton,0.075,1.79,0,0.99,-6.1,-4.5,-3.9,-3.8,-3.5,-1.3,-0.009,0.015
2022,2022-03-17,San Francisco,Murray State,-0.210,4.25,0,0.28,1.4,5.6,3.7,3.5,2.6,-0.2,0.002,-0.004
2022,2022-03-18,Seton Hall,Texas Christian,0.052,-0.97,0,0.21,2.5,4.7,-0.6,0.8,1.8,1.2,-0.002,0.019
2022,2022-03-17,South Dakota State,Providence,0.049,-6.48,0,-0.25,10.7,4.1,5.5,3.7,2.9,-0.4,0.063,0.077
2022,2022-03-18,Southern California,Miami (FL),0.091,1.28,0,-0.25,-3.0,0.1,-2.7,-2.3,-1.7,0.7,-0.046,0.002
2022,2022-03-17,Tennessee,Longwood,-0.025,20.81,1,-0.15,-2.6,1.8,0.9,0.3,-1.2,-0.9,-0.026,-0.013
2022,2022-03-19,Tennessee,Michigan,0.239,6.20,0,-0.04,-2.8,0.0,-0.5,-1.3,-2.7,-3.3,-0.021,0.005
2022,2022-03-18,Texas,Virginia Tech,-0.001,2.53,1,1.00,-2.1,0.4,-0.4,-0.4,-0.9,-1.9,-0.024,-0.033
2022,2022-03-20,Texas,Purdue,-0.138,-2.14,0,0.74,-9.2,-1.8,-4.1,-3.0,-3.4,-2.6,-0.031,-0.034
2022,2022-03-18,Texas Christian,Seton Hall,-0.052,0.97,1,-0.21,-2.5,0.9,0.3,-0.8,-0.8,-1.2,0.002,-0.019
2022,2022-03-20,Texas Christian,Arizona,-0.287,-9.03,0,0.36,-9.3,1.0,-0.7,-1.8,-1.0,-0.4,-0.019,-0.035
2022,2022-03-17,Texas Southern,Kansas,-0.211,-25.58,0,0.73,-5.2,2.6,-1.2,-1.1,0.4,-1.1,-0.031,-0.021
2022,2022-03-18,Texas Tech,Montana State,-0.059,20.34,1,0.75,-6.6,-1.7,-2.3,-3.6,-4.0,-1.8,-0.031,-0.031
2022,2022-03-20,Texas Tech,Notre Dame,0.038,8.21,1,0.24,-3.5,-1.9,-2.2,-2.3,-3.0,-4.4,-0.015,-0.034
2022,2022-03-24,Texas Tech,Duke,-0.088,0.53,0,0.74,-7.6,-2.3,-3.4,-2.6,-3.5,-4.2,-0.012,-0.025
2022,2022-03-17,UCLA,Akron,0.054,18.39,1,0.91,3.4,3.8,3.2,1.7,1.5,0.6,-0.013,-0.011
2022,2022-03-19,UCLA,Saint Mary's (CA),0.000,4.48,1,0.38,4.8,5.5,4.7,2.5,2.1,0.9,-0.005,-0.009
2022,2022-03-25,UCLA,North Carolina,0.063,3.80,0,0.61,-4.6,-1.5,-2.8,-3.2,-3.6,-0.3,-0.007,-0.011
2022,2022-03-17,Vermont,Arkansas,0.091,-8.46,0,0.47,-4.3,-3.7,-2.5,-4.6,-4.3,3.2,0.023,0.041
2022,2022-03-18,Villanova,Delaware,0.141,18.99,1,0.21,-4.6,-3.1,-3.6,-4.0,-4.0,1.8,-0.019,-0.017
2022,2022-03-20,Villanova,Ohio State,0.155,5.14,1,-0.08,-3.1,-1.1,-2.3,-2.6,-2.7,-0.2,-0.013,-0.018
2022,2022-03-24,Villanova,Michigan,0.239,5.05,1,0.72,-3.8,-1.1,-3.0,-3.1,-3.9,-0.1,-0.008,0.002
2022,2022-03-26,Villanova,Houston,-0.065,-3.24,1,0.46,0.4,3.4,2.5,2.0,1.9,1.8,0.017,0.021
2022,2022-04-02,Villanova,Kansas,-0.036,-2.97,0,0.22,-5.6,-1.5,-2.2,-2.6,-2.8,1.6,0.002,0.004
2022,2022-03-18,Virginia Tech,Texas,0.001,-2.53,0,-1.00,2.1,1.0,3.7,0.8,1.1,1.9,0.024,0.033
2022,2022-03-18,Wisconsin,Colgate,0.098,12.15,1,-1.01,-3.4,0.2,-1.8,-1.1,-0.5,1.1,-0.026,-0.054
2022,2022-03-20,Wisconsin,Iowa State,0.149,0.75,0,-0.92,3.9,2.6,1.5,0.8,1.2,5.2,-0.002,0.014
2022,2022-03-18,Wright State,Arizona,-0.283,-24.69,0,0.55,-2.3,2.4,3.0,1.4,1.9,0.5,0.016,-0.007
2022,2022-03-18,Yale,Purdue,-0.161,-19.25,0,-0.33,-3.5,3.8,-0.5,0.5,0.7,-2.4,-0.028,-0.042